field,category,cardinality,n_distinct_observed,support,null_count,absence_rate,majority_answer,majority_count,majority_share,pcl_risk
breach_of_meeting_covenant_required_to_be_willful_material_andor_intentional,Deal Protection and Related Provisions,2,2,20,132,0.868421052631579,Yes,19,0.95,0.825
absence_of_litigation_closing_condition_governmental_v_non_governmental_answer,Conditions to Closing,2,2,13,139,0.9144736842105263,Governmental litigation only,11,0.8461538461538461,0.7737854251012146
absence_of_litigation_closing_condition_pending_v_threatened_v_threatened_in_writing_answer,Conditions to Closing,3,3,13,139,0.9144736842105263,Pending,9,0.6923076923076923,0.6330971659919028
breach_of_no_shop_required_to_be_willful_material_andor_intentional,Deal Protection and Related Provisions,2,2,59,93,0.6118421052631579,Yes,58,0.9830508474576272,0.601471900089206
cor_standard_board_determination_only_answer,Deal Protection and Related Provisions,4,4,10,142,0.9342105263157895,More likely than not violate fiduciary duties,5,0.5,0.46710526315789475
constructive_knowledge_answer,Knowledge,2,2,84,68,0.4473684210526316,Based on investigation or inquiry,82,0.9761904761904762,0.4367167919799499
financial_point_of_view_is_the_sole_consideration,Deal Protection and Related Provisions,2,2,120,32,0.21052631578947367,No,112,0.9333333333333333,0.19649122807017544
ftr_triggers_answer,Deal Protection and Related Provisions,2,2,129,23,0.1513157894736842,Superior Offer,128,0.9922480620155039,0.15014279885760914
knowledge_persons_include_target_management_intervening_event,Deal Protection and Related Provisions,2,2,128,24,0.15789473684210525,No,120,0.9375,0.14802631578947367
number_of_additional_matching_rights_periods_for_modifications_ftr,Deal Protection and Related Provisions,2,2,129,23,0.1513157894736842,Continuous matching right,122,0.9457364341085271,0.1431048551611587
definition_contains_a_materiality_standard_yn,Deal Protection and Related Provisions,2,2,128,24,0.15789473684210525,Yes,103,0.8046875,0.12705592105263158
intervening_event_required_to_occur_after_signing_answer,Deal Protection and Related Provisions,2,2,128,24,0.15789473684210525,May occur or arise prior to signing,91,0.7109375,0.11225328947368421
definition_contains_knowledge_requirement_answer,Deal Protection and Related Provisions,4,4,128,24,0.15789473684210525,"Known, but consequences unknown or not reasonably foreseeable, at signing",66,0.515625,0.08141447368421052
liability_standard_for_no_shop_breach_by_target_non_do_representatives,Deal Protection and Related Provisions,2,2,138,14,0.09210526315789473,Strict liability,80,0.5797101449275363,0.05339435545385202
number_of_additional_matching_rights_periods_for_modifications_cor,Deal Protection and Related Provisions,2,2,148,4,0.02631578947368421,Continuous matching right,144,0.972972972972973,0.025604551920341393
definition_includes_asset_deals_answer,Deal Protection and Related Provisions,4,4,145,7,0.046052631578947366,"Greater than 50% but not ""all or substantially all""",69,0.47586206896551725,0.021914700544464608
definition_includes_stock_deals_answer,Deal Protection and Related Provisions,4,4,146,6,0.039473684210526314,"Greater than 50% but not ""all or substantially all""",76,0.5205479452054794,0.02054794520547945
